DURATION;POPULARITY;KEY;TEMPO;LOUDNESS;MODE;PLAYLISTID;MOOD;PLAYLIST;PLAYLISTDESCRIPTION;URI;ARTIST;SONG;DANCEABILITY;ENERGY;INSTRUMENTALNESS;ACOUSTICNESS;VALENCE;LIVENESS;SPEECHINESS
0.2370625842046217;0.6767676767676768;0.18181818181818182;0.14325045886868015;0.8450432874039752;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:5TAf4lnZCZTLlZHNZMLFLi;Macy Gray;I Try;0.593;0.642;5.82E-4;0.313;0.755;0.0804;0.0299
0.2311932339185181;0.48484848484848486;0.8181818181818182;0.5222402326523801;0.8944275088403854;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:5xHBcQPeb13GIl7cBu9UZt;Dreamon;Like You Love Me;0.578;0.531;4.95E-5;0.0556;0.0924;0.106;0.039
0.28717938209816146;0.7474747474747475;0.6363636363636364;0.17066935233963434;0.8692110718205097;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:6JG0qhINKVwiHxqN85j7RG;J. Cole;Crooked Smile;0.607;0.784;0.0;0.433;0.481;0.689;0.268
0.32925351802427144;0.6060606060606061;0.45454545454545453;0.5604753164406092;0.8278014876234606;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:2LTl1pU074hnzAdy0SpHAb;Coldplay;The Scientist;0.572;0.417;1.67E-5;0.728;0.204;0.11;0.024
0.168144142944229;0.5555555555555556;0.9090909090909091;0.46763485971728924;0.8061943665406657;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:1wKNJ357jNrlMYXOz2eC6g;Jamie Foxx;In Love By Now;0.645;0.379;1.76E-6;0.81;0.29;0.124;0.0295
0.22242826918840833;0.494949494949495;0.45454545454545453;0.641760625491645;0.803828801365687;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:1GSTBIQ9omQSZ6ES12pkQ0;Mary J. Blige;Suitcase;0.742;0.571;5.26E-6;0.00187;0.685;0.203;0.105
0.23381734448719066;0.5050505050505051;0.5454545454545454;0.1528211484827537;0.8767711254725035;0.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:3vHLd0cA2XSlhS1HFPOAHq;The Sam Willows;For Love;0.529;0.716;0.0;0.159;0.224;0.333;0.0594
0.24403459881460385;0.7171717171717171;0.0;0.45702128673929104;0.8537495427386904;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:1qDrWA6lyx8cLECdZE7TV7;Gotye;Somebody That I Used To Know;0.862;0.515;1.13E-4;0.542;0.751;0.0987;0.0359
0.21701484050428002;0.5656565656565656;0.7272727272727273;0.5330862196371956;0.868577002804536;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:2EfuOKbUFQHvv7zlmGL3iM;Maria Mena;I Don't Wanna See You with Her;0.562;0.517;0.0;0.0987;0.155;0.125;0.0314
0.19536368712508131;0.9191919191919192;0.09090909090909091;0.5814521703892637;0.8618948908669674;1.0;6dm9jZ2p8iGGTLre7nY4hf;SAD;BREAKUP SONGS;When you've come to an end there's no better cure than music for a broken heart! You never know when you need comfort so make sure you follow the best playlist for break up songs on Spotify! // FILTR;spotify:track:1WP1r7fuvRqZRnUaTi2I1Q;Shawn Mendes;Stitches;0.749;0.748;0.0;0.0152;0.758;0.0511;0.0581
